--------------------------------------------------------------------------------
[Feb 04, 2025 6:18:10.7 PM GMT:ERROR:refill_confirmation_tokens.cc(197)] Failed to get signed tokens
[Mar 08, 2025 5:55:57.2 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 08, 2025 5:55:57.2 PM GMT:ERROR:get_wallet.cc(87)] Unexpected status code! (HTTP -1)
[Mar 08, 2025 5:58:56.1 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 08, 2025 5:58:56.1 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 08, 2025 6:12:12.1 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 08, 2025 6:12:12.1 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
--------------------------------------------------------------------------------
[Mar 11, 2025 2:07:09.6 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 11, 2025 2:07:09.6 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 11, 2025 2:07:09.7 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 11, 2025 2:07:09.7 AM GMT:ERROR:get_wallet.cc(87)] Unexpected status code! (HTTP -1)
--------------------------------------------------------------------------------
[Mar 13, 2025 7:02:16.7 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 13, 2025 7:02:16.7 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 13, 2025 7:02:16.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 13, 2025 7:02:16.8 AM GMT:ERROR:get_wallet.cc(87)] Unexpected status code! (HTTP -1)
[Mar 13, 2025 7:03:18.9 AM GMT:ERROR:redeem_payment_tokens.cc(99)] Failed to redeem payment tokens
[Mar 13, 2025 7:05:41.1 AM GMT:ERROR:redeem_payment_tokens.cc(99)] Failed to redeem payment tokens
[Mar 13, 2025 7:09:03.7 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 13, 2025 7:09:03.7 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 13, 2025 7:11:28.1 AM GMT:ERROR:redeem_payment_tokens.cc(99)] Failed to redeem payment tokens
--------------------------------------------------------------------------------
[Mar 16, 2025 5:31:35.7 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 5:31:35.7 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 16, 2025 5:31:35.8 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 5:31:35.8 PM GMT:ERROR:get_wallet.cc(87)] Unexpected status code! (HTTP -1)
[Mar 16, 2025 5:31:35.8 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 5:31:35.8 PM GMT:ERROR:get_prefix_list.cc(30)] Unexpected HTTP status: -1
[Mar 16, 2025 5:31:35.8 PM GMT:ERROR:get_prefix_list.cc(53)] Invalid server response for publisher prefix list
[Mar 16, 2025 5:31:35.8 PM GMT:ERROR:publisher_prefix_list_updater.cc(66)] Invalid server response for publisher prefix list
[Mar 16, 2025 5:32:37.3 PM GMT:ERROR:redeem_payment_tokens.cc(99)] Failed to redeem payment tokens
[Mar 16, 2025 5:32:50.7 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 5:32:50.7 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
--------------------------------------------------------------------------------
[Mar 16, 2025 9:17:48.8 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 9:17:48.8 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 16, 2025 10:07:47.8 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 10:07:47.8 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 16, 2025 10:18:38.8 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 10:18:38.8 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 16, 2025 10:30:36.8 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 10:30:36.8 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 16, 2025 11:03:18.8 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 11:03:18.8 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 16, 2025 11:52:47.8 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 16, 2025 11:52:47.8 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 12:18:51.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 12:18:51.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 12:55:04.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 12:55:04.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 12:55:56.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 12:55:56.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 12:57:33.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 12:57:33.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 1:12:31.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 1:12:31.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 1:21:48.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 1:21:48.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 1:41:28.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 1:41:28.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 1:55:34.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 1:55:34.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 1:58:12.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 1:58:12.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 2:14:13.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 2:14:13.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 2:24:39.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 2:24:39.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 2:28:27.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 2:28:27.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 2:30:47.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 2:30:47.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 3:05:09.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 3:05:09.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 3:09:16.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 3:09:16.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 3:15:52.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 3:15:52.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 3:33:31.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 3:33:31.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 3:49:46.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 3:49:46.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 3:54:50.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 3:54:50.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 4:02:25.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 4:02:25.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 4:33:07.8 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 4:33:07.8 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 4:49:00.9 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 4:49:00.9 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 4:54:38.9 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 4:54:38.9 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 4:58:57.9 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 4:58:57.9 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 4:59:29.9 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 4:59:29.9 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 5:09:05.9 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 5:09:05.9 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 5:30:15.9 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 5:30:15.9 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 17, 2025 5:38:27.9 AM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 17, 2025 5:38:27.9 AM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
--------------------------------------------------------------------------------
[Mar 17, 2025 10:42:49.1 AM GMT:ERROR:refill_confirmation_tokens.cc(197)] Failed to get signed tokens
--------------------------------------------------------------------------------
[Mar 22, 2025 12:56:57.9 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 12:56:57.9 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 22, 2025 12:58:46.9 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 12:58:46.9 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 22, 2025 1:22:46.9 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 1:22:46.9 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 22, 2025 1:31:50.9 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 1:31:50.9 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 22, 2025 1:51:57.9 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 1:51:57.9 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 22, 2025 2:16:21.9 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 2:16:21.9 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 22, 2025 2:56:47.9 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 2:56:47.9 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
--------------------------------------------------------------------------------
[Mar 22, 2025 5:52:33.0 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 5:52:33.0 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
[Mar 22, 2025 5:52:33.0 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 5:52:33.0 PM GMT:ERROR:get_wallet.cc(87)] Unexpected status code! (HTTP -1)
[Mar 22, 2025 9:02:40.1 PM GMT:ERROR:url_loader.cc(130)] Network error: net::ERR_INTERNET_DISCONNECTED
[Mar 22, 2025 9:02:40.1 PM GMT:ERROR:get_parameters.cc(145)] Unexpected status code! (HTTP -1)
--------------------------------------------------------------------------------
[Apr 04, 2025 12:29:43.6 AM GMT:ERROR:rewards_service_impl.cc(294)] Restarting engine process after disconnect
--------------------------------------------------------------------------------
[Apr 04, 2025 1:21:43.0 PM GMT:ERROR:rewards_service_impl.cc(294)] Restarting engine process after disconnect
--------------------------------------------------------------------------------
[Apr 04, 2025 8:16:39.0 PM GMT:ERROR:rewards_service_impl.cc(294)] Restarting engine process after disconnect
--------------------------------------------------------------------------------
[Apr 07, 2025 8:47:27.4 AM GMT:ERROR:rewards_service_impl.cc(294)] Restarting engine process after disconnect
--------------------------------------------------------------------------------
--------------------------------------------------------------------------------
[Apr 07, 2025 11:20:23.5 PM GMT:ERROR:rewards_service_impl.cc(294)] Restarting engine process after disconnect
--------------------------------------------------------------------------------
[Apr 11, 2025 3:35:54.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:36:20.3 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:37:06.5 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:38:22.9 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:39:51.3 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:43:59.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:44:32.5 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:45:31.1 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:45:52.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:47:12.7 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:48:58.8 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:50:55.3 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:52:13.9 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 3:59:48.8 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 4:00:28.3 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 4:21:19.7 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 4:26:05.7 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 4:40:11.1 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:00:04.8 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:00:29.3 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:01:10.7 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:02:04.1 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:04:06.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:09:51.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:16:06.5 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:26:22.3 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:29:21.2 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
[Apr 11, 2025 5:35:15.6 PM GMT:ERROR:redeem_reward_confirmation.cc(167)] Payment token is not ready
